"agent_id","first","middle","last","address","city","country","salary","clearance_id"
"3","Mathew","\N","Cohen","45 3rd Avenue","New York","USA","55920","5"
"20","George","\N","Jones","8 10th Avenue","Paris","France","50171","6"
"55","John","\N","House","35 28th Avenue","Seattle","USA","54803","5"
"83","Jason","\N","Amezcua","11 46th Avenue","New York","USA","51272","5"
"84","George","\N","Cohen","12 47th Avenue","Seattle","USA","57994","5"
"85","Nick","\N","Coeckx","105 48th Avenue","Warsaw","Poland","57933","5"
"101","Julien","\N","Sibbett","23 62nd Avenue","Bangalore","India","52152","3"
"145","Jim","\N","Platis","28 91st Avenue","Baghdad","Iraq","90674","6"
"183","George","\N","DeFreez","17 22nd Avenue","Athens","USA","50552","3"
"199","David","\N","Lyu","83 31 32nd Avenue","Baghdad","Iraq","54672","5"
"226","Cecile","\N","Zu","\N","Baghdad","Iraq","71334","5"
"239","Jonathan","\N","Szilangui","24 57th Avenue","Paris","France","50393","2"
"256","Pete","\N","Ward","10 70th Avenue","Toronto","Canada","50393","4"
"274","Mat","\N","El Hafsi","14 81st Avenue","San Francisco","USA","57568","5"
"301","George","\N","Spicer","56 98th Avenue","San Francisco","USA","89645","1"
"336","Helen","\N","Ralston","\N","San Francisco","USA","71444","2"
"369","George","\N","Gratham","3 46th Avenue","Sydney","Austrailia","56373","5"
"386","Charles","\N","Ayala","1 58th Avenue","Athens","USA","55098","2"
"398","Tim","\N","Ridway","42 67th Avenue","New York","USA","53152","2"
"401","Valerie","\N","Wilkins","9 69th Avenue","Seattle","USA","56693","2"
"429","George","\N","Carter","3 92nd Avenue","Sydney","Austrailia","56373","5"
"453","Antony","\N","Rideout","20 25th Avenue","Jerusalem","Israel","78643","1"
"511","Ted","\N","Aquino","2 67th Avenue","San Francisco","USA","54373","2"
"528","Peter","\N","Love","\N","New York","USA","71636","2"
"539","Jonathan","\N","Rinne","8 93rd Avenue","Delhi","India","56264","2"
"579","Steve","\N","Henry","10 10th Avenue","San Francisco","USA","53262","5"
"591","Steve","\N","Wilkens","37 30th Avenue","Athens","USA","71699","1"
"601","Alex","\N","Acevedo","\N","Paris","France","71709","5"
"706","Mary","J","Lott","487 RUSSELL","Miami","USA","244474","1"
"709","George","O","Collins","172 RUSSELL","Miami","USA","86344","4"
"760","Robert","C","Shelby","110 HART","Miami","USA","55220","2"
"774","Tom","B","Voinovich","317 HART","Miami","USA","159134","5"
"781","James","M","Dodd","448 RUSSELL","Washington DC","USA","224896","2"
"789","Mitch","H","Murkowski","709 HART","Miami","USA","355918","1"
"836","Zoe","J","Petrocelli","17 22nd Avenue","New York","USA","56593","3"
"950","Tom","R","Jarvis","34 7th Avenue","Cairo","Egypt","50173","2"
"998","Kristin","M","Gonzalez","5 72nd Avenue","Athens","USA","90845","5"
"1010","Josef","J","Rodriguez","6 37th Avenue","New York","USA","89645","5"
"1025","Tim","J","Queen","4567 Shalam drive","Baghdad","Iraq","57577","3"
"1097","Pluto","\N","Herrmann","18 96th Avenue","Paris","France","50501","1"
"258","John","\N","Miller","5 72nd Avenue","Maine","USA","50555","3"
"353","Tim","\N","McCracken","94 33th Avenue","Hong Kong","China","57482","3"
"498","Tim","\N","Divola","7 55th Avenue","Warsaw","Poland","58937","3"
"812","Kate","M","Hall","118 73rd Avenue","Hong Kong","China","90748","3"
"920","Tamara","G","Lonborg","3 75th Avenue","Paris","France","89745","3"
